_SkuId (Não alterável),_NomeSku,_AtivarSkuSePossível,_SkuAtivo (Não alterável),_SkuEan,_Altura,_AlturaReal,_Largura,_LarguraReal,_Comprimento,_ComprimentoReal,_Peso,_PesoReal,_UnidadeMedida,_MultiplicadorUnidade,_CodigoReferenciaSKU,_ValorFidelidade,_DataPrevisaoChegada,_CodigoFabricante,_IdProduto (Não alterável),_NomeProduto (Obrigatório),_NomeComplemento,_ProdutoAtivo (Não alterável),_CodigoReferenciaProduto,_ExibeNoSite,_TextoLink (Não alterável),_DescricaoProduto,_DataLancamentoProduto,_PalavrasChave,_TituloSite,_MetaTagDescription,_IdFornecedor,_ExibeSemEstoque,_Kit (Não Alterável),_IdDepartamento (Não alterável),_NomeDepartamento,_IdCategoria,_NomeCategoria,_IdMarca,_Marca,_PesoCubico,_CondicaoComercial,_CodigosLojas,_Acessorios,_Similares,_Sugestoes,MostrarJunto,_Anexos
,CHAMARRA ,SI,NO,,1,,1,,1,,250,,un,1,QC140651VRCHI,,01/01/2021,,,CHAMARRA ,,NO,QC140651,SI,chamarra-qc140651-hombre,"Chamarra ligera con cuello, puños y bajos en tejido elástico combinados, bolsas delanteras, con forro ligero. 100% Poliéster",43835,"chamarras, chamarraz, abrigos, abrigo, avrigo, avrigos, abrigoz, avrigoz, chalecos, chalekos, chalecoz, chalekoz, saco, zaco, sacos, zacos",CHAMARRA QC140651,chamarra qc140651 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,8,Ropa Para hombre,12,Chamarras y Chalecos,2000000,Quarry,0.0002,Padrão,1,,,,,
,CHAMARRA ,SI,NO,,1,,1,,1,,250,,un,1,QC140651VRGRA,,01/01/2021,,,CHAMARRA ,,NO,QC140651,SI,chamarra-qc140651-hombre,"Chamarra ligera con cuello, puños y bajos en tejido elástico combinados, bolsas delanteras, con forro ligero. 100% Poliéster",43835,"chamarras, chamarraz, abrigos, abrigo, avrigo, avrigos, abrigoz, avrigoz, chalecos, chalekos, chalecoz, chalekoz, saco, zaco, sacos, zacos",CHAMARRA QC140651,chamarra qc140651 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,8,Ropa Para hombre,12,Chamarras y Chalecos,2000001,Quarry,0.0002,Padrão,1,,,,,
,CHAMARRA ,SI,NO,,1,,1,,1,,250,,un,1,QC140651VRMED,,01/01/2021,,,CHAMARRA ,,NO,QC140651,SI,chamarra-qc140651-hombre,"Chamarra ligera con cuello, puños y bajos en tejido elástico combinados, bolsas delanteras, con forro ligero. 100% Poliéster",43835,"chamarras, chamarraz, abrigos, abrigo, avrigo, avrigos, abrigoz, avrigoz, chalecos, chalekos, chalecoz, chalekoz, saco, zaco, sacos, zacos",CHAMARRA QC140651,chamarra qc140651 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,8,Ropa Para hombre,12,Chamarras y Chalecos,2000002,Quarry,0.0002,Padrão,1,,,,,
,CHAMARRA ,SI,NO,,1,,1,,1,,250,,un,1,QC140651VRXGD,,01/01/2021,,,CHAMARRA ,,NO,QC140651,SI,chamarra-qc140651-hombre,"Chamarra ligera con cuello, puños y bajos en tejido elástico combinados, bolsas delanteras, con forro ligero. 100% Poliéster",43835,"chamarras, chamarraz, abrigos, abrigo, avrigo, avrigos, abrigoz, avrigoz, chalecos, chalekos, chalecoz, chalekoz, saco, zaco, sacos, zacos",CHAMARRA QC140651,chamarra qc140651 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,8,Ropa Para hombre,12,Chamarras y Chalecos,2000003,Quarry,0.0002,Padrão,1,,,,,
,CHAMARRA ,SI,NO,,1,,1,,1,,250,,un,1,QC140669AMCHI,,01/01/2021,,,CHAMARRA ,,NO,QC140669,SI,chamarra-qc140669-hombre,Chamarra capitonada con bolsas delanteras con vivo. Puños con tejido elástico para frenar la entrada del aire frio. 100% Poliéster,43835,"chamarras, chamarraz, abrigos, abrigo, avrigo, avrigos, abrigoz, avrigoz, chalecos, chalekos, chalecoz, chalekoz, saco, zaco, sacos, zacos",CHAMARRA QC140669,chamarra qc140669 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,8,Ropa Para hombre,12,Chamarras y Chalecos,2000004,Quarry,0.0002,Padrão,1,,,,,
,CHAMARRA ,SI,NO,,1,,1,,1,,250,,un,1,QC140669AMGRA,,01/01/2021,,,CHAMARRA ,,NO,QC140669,SI,chamarra-qc140669-hombre,Chamarra capitonada con bolsas delanteras con vivo. Puños con tejido elástico para frenar la entrada del aire frio. 100% Poliéster,43835,"chamarras, chamarraz, abrigos, abrigo, avrigo, avrigos, abrigoz, avrigoz, chalecos, chalekos, chalecoz, chalekoz, saco, zaco, sacos, zacos",CHAMARRA QC140669,chamarra qc140669 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,8,Ropa Para hombre,12,Chamarras y Chalecos,2000005,Quarry,0.0002,Padrão,1,,,,,
,CHAMARRA ,SI,NO,,1,,1,,1,,250,,un,1,QC140669AMMED,,01/01/2021,,,CHAMARRA ,,NO,QC140669,SI,chamarra-qc140669-hombre,Chamarra capitonada con bolsas delanteras con vivo. Puños con tejido elástico para frenar la entrada del aire frio. 100% Poliéster,43835,"chamarras, chamarraz, abrigos, abrigo, avrigo, avrigos, abrigoz, avrigoz, chalecos, chalekos, chalecoz, chalekoz, saco, zaco, sacos, zacos",CHAMARRA QC140669,chamarra qc140669 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,8,Ropa Para hombre,12,Chamarras y Chalecos,2000006,Quarry,0.0002,Padrão,1,,,,,
,CHAMARRA ,SI,NO,,1,,1,,1,,250,,un,1,QC140669AMXGD,,01/01/2021,,,CHAMARRA ,,NO,QC140669,SI,chamarra-qc140669-hombre,Chamarra capitonada con bolsas delanteras con vivo. Puños con tejido elástico para frenar la entrada del aire frio. 100% Poliéster,43835,"chamarras, chamarraz, abrigos, abrigo, avrigo, avrigos, abrigoz, avrigoz, chalecos, chalekos, chalecoz, chalekoz, saco, zaco, sacos, zacos",CHAMARRA QC140669,chamarra qc140669 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,8,Ropa Para hombre,12,Chamarras y Chalecos,2000007,Quarry,0.0002,Padrão,1,,,,,
,PLAYERA ,SI,NO,,1,,1,,1,,238,,un,1,QD240426GRUNT,,01/01/2021,,,PLAYERA ,,NO,QD240426,SI,playera-qd240426-mujer,"Suéter básico, cuello alto, fabricado en tejido de canalé con tacto super suave. 65% Viscosa 35% Poliester",43835,"playera, palyeras, plallera, plalleras, payera, payeras, payeraz, remera, remeras, remeraz, camisetas, camicetas, camisetaz, kmisetas, kmicetas, kmisetas, kmizetaz, polo, polos, t.shirt, tank top, tanc top, top, crop top",PLAYERA QD240426,playera qd240426 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,9,Ropa Para Mujer,21,Playeras,2000008,Quarry,0.0002,Padrão,1,,,,,
,SUDADERA ,SI,NO,,1,,1,,1,,250,,un,1,QD250004AMCHI,,01/01/2021,,,SUDADERA ,,NO,QD250004,SI,sudadera-qd250004-mujer,"Sudadera ligera crop, con sisa caida, manga larga con puño y estampado al frente. Poliéster/Algodón",43835,"sudadera, sudaderas, zudadera, zudaderas, zudaderaz, sudaderaz, sueter, sweater, sueters, sweaters, zueter, zueters, zueterz, punto, jersey, cardigan, cardigang",SUDADERA QD250004,sudadera qd250004 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,9,Ropa Para Mujer,25,Sudaderas y Sweaters,2000009,Quarry,0.0002,Padrão,1,,,,,
,SUDADERA ,SI,NO,,1,,1,,1,,250,,un,1,QD250004AMGRA,,01/01/2021,,,SUDADERA ,,NO,QD250004,SI,sudadera-qd250004-mujer,"Sudadera ligera crop, con sisa caida, manga larga con puño y estampado al frente. Poliéster/Algodón",43835,"sudadera, sudaderas, zudadera, zudaderas, zudaderaz, sudaderaz, sueter, sweater, sueters, sweaters, zueter, zueters, zueterz, punto, jersey, cardigan, cardigang",SUDADERA QD250004,sudadera qd250004 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,9,Ropa Para Mujer,25,Sudaderas y Sweaters,2000010,Quarry,0.0002,Padrão,1,,,,,
,SUDADERA ,SI,NO,,1,,1,,1,,250,,un,1,QD250004AMMED,,01/01/2021,,,SUDADERA ,,NO,QD250004,SI,sudadera-qd250004-mujer,"Sudadera ligera crop, con sisa caida, manga larga con puño y estampado al frente. Poliéster/Algodón",43835,"sudadera, sudaderas, zudadera, zudaderas, zudaderaz, sudaderaz, sueter, sweater, sueters, sweaters, zueter, zueters, zueterz, punto, jersey, cardigan, cardigang",SUDADERA QD250004,sudadera qd250004 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,9,Ropa Para Mujer,25,Sudaderas y Sweaters,2000011,Quarry,0.0002,Padrão,1,,,,,
,SUDADERA ,SI,NO,,1,,1,,1,,250,,un,1,QD250040NGCHI,,01/01/2021,,,SUDADERA ,,NO,QD250040,SI,sudadera-qd250040-mujer,"Sudadera invernal, de fit boxy con sisa caída. Cinta decorativa cruzada al frente, mangas con tejido ajustable. 100% Poliéster",43835,"sudadera, sudaderas, zudadera, zudaderas, zudaderaz, sudaderaz, sueter, sweater, sueters, sweaters, zueter, zueters, zueterz, punto, jersey, cardigan, cardigang",SUDADERA QD250040,sudadera qd250040 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,9,Ropa Para Mujer,25,Sudaderas y Sweaters,2000012,Quarry,0.0002,Padrão,1,,,,,
,SUDADERA ,SI,NO,,1,,1,,1,,250,,un,1,QD250040NGGRA,,01/01/2021,,,SUDADERA ,,NO,QD250040,SI,sudadera-qd250040-mujer,"Sudadera invernal, de fit boxy con sisa caída. Cinta decorativa cruzada al frente, mangas con tejido ajustable. 100% Poliéster",43835,"sudadera, sudaderas, zudadera, zudaderas, zudaderaz, sudaderaz, sueter, sweater, sueters, sweaters, zueter, zueters, zueterz, punto, jersey, cardigan, cardigang",SUDADERA QD250040,sudadera qd250040 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,9,Ropa Para Mujer,25,Sudaderas y Sweaters,2000013,Quarry,0.0002,Padrão,1,,,,,
,SUDADERA ,SI,NO,,1,,1,,1,,250,,un,1,QD250040NGMED,,01/01/2021,,,SUDADERA ,,NO,QD250040,SI,sudadera-qd250040-mujer,"Sudadera invernal, de fit boxy con sisa caída. Cinta decorativa cruzada al frente, mangas con tejido ajustable. 100% Poliéster",43835,"sudadera, sudaderas, zudadera, zudaderas, zudaderaz, sudaderaz, sueter, sweater, sueters, sweaters, zueter, zueters, zueterz, punto, jersey, cardigan, cardigang",SUDADERA QD250040,sudadera qd250040 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,9,Ropa Para Mujer,25,Sudaderas y Sweaters,2000014,Quarry,0.0002,Padrão,1,,,,,
,SUDADERA ,SI,NO,,1,,1,,1,,250,,un,1,QD250040NGXGD,,01/01/2021,,,SUDADERA ,,NO,QD250040,SI,sudadera-qd250040-mujer,"Sudadera invernal, de fit boxy con sisa caída. Cinta decorativa cruzada al frente, mangas con tejido ajustable. 100% Poliéster",43835,"sudadera, sudaderas, zudadera, zudaderas, zudaderaz, sudaderaz, sueter, sweater, sueters, sweaters, zueter, zueters, zueterz, punto, jersey, cardigan, cardigang",SUDADERA QD250040,sudadera qd250040 Moda Joven Y Rebelde Con Diseño Y Variedad. Compra Online La Ropa Para Definir Tu Estilo. Envíos Gratis Por +$699.,,NO,NO,9,Ropa Para Mujer,25,Sudaderas y Sweaters,2000015,Quarry,0.0002,Padrão,1,,,,,
